Question,Expected Response
Why do you want a job in Venture Capital?,This is one you can almost guarantee will be in any interview. A key here is to express what excites you about the VC industry. Is it getting to work with a variety of startups? Or help bring new companies into the world? Write down a few things alongside the skills you’ve acquired thus far throughout your career and then explain why VC is the next logical step.
Which sector do you follow?,Pick two or three sub sectors and do in-depth research. You should be able to explain the trends in detail and know who the key players are. It is also helpful to give an outlook on how you think the market will develop in the coming years.
Which companies do you follow? Should we invest in them?,Prepare a list of two to three interesting companies that you would look at as a VC. Make sure to include the sector and your reasoning.
Which of our investments do you like most and why?,Read up on their portfolio companies and prepare to answer on two or three companies. You can also prepare special questions.
Which recent deal do you like most?,Read up on two or three interesting deals that have happened in the industry and make sure you understand what has happened and know some details about the company itself.
How are the IPO markets at the moment?,"Talk about whether the IPO markets are doing well or not, whether you think there is a bubble, etc. The state of IPO markets is critical to venture capital firms because it's one of the most common ways for them to realize their investments, so you need to be able to demonstrate whether the markets are doing well or not."
Where do you see yourself in five years?,"This is quite an open question and there are no real answers - it's perfectly fine to mention that you may want to be an entrepreneur someday, or that you want to stay in venture capital and become a partner, or focus on a specific niche."
Why not become an entrepreneur?,"Because you prefer to look at a large diversity of companies, you want to focus on investment and strategy or you don’t have a great idea yet. There are many ways to answer this question."
Why not go into private equity?,"Private equity and venture capital are two very different worlds. Good answers include: you prefer to invest in early stage companies, don't like the use of leverage by private equity, feel that there is more potential in venture capital because of..., etc."
How many cans of Coca Cola are drunk in London each day?,You may sometime come across brainteaser questions that test the way you think about problems. The way to answer them is to always breakdown the problem into various drivers. The interviewer wants to get to know your thinking process and not the perfect answer.
What makes you qualified for the role? What evidence can you provide to support that?,"When you are trying to sell yourself, you need to be very clear about why you are the best fit for the company, their mission, the job description, and expectations. First look at the qualifications the interviewer wants in a candidate from the job description. Think of some examples of how you embody these qualities."
Where have you succeeded and struggled? What did you learn from those experiences?,"An effective approach to the “failure” interview questions include a story about the failure. While creating a few talking points is helpful, it can be even more helpful to use those points to create a narrative."
Why did you choose your past roles?,Speak about the background and motivation for selecting your previous job.
How will you contribute to the firm?,"You should be able to articulate why moving into the more general realm of VC makes sense (Opportunity to help more founders, build new skills, learn a new industry and from a different perspective etc.)."
Why VC as opposed to an operational role with a startup or launch your own company?,There’s no right or wrong approach to approach these sorts of questions. Concentrate on the most important points and be as specific as possible.
What were you responsible for in your last job?,You should be able to explain your current job responsibilities and duties clearly and in detail to help them visualize the tasks you successfully complete.
How do you expect your day in the role to be like?,Speak about your expectations in terms of the work you will be doing in the role and the company culture.
What are some recent developments in the VC industry?,Do your research. You should know the competitors of the VC you are applying at and also be able to answer in which details they differ.
How do you assess an early-stage startup VS a later-stage startup?,"In a very generalized way, early stage investors care more about evidence, while later stage investors care more about proof."
How do you calculate the CAC (Customer Acquisition Cost)?,CAC is calculated by dividing the total cost of acquiring customers (cost of sales and marketing) over a given time period by the total number of customers acquired over that period.
What can you say about the ratio LTV/CAC?,The LTV/CAC measures the relationship between the lifetime value of a customer and the cost of acquiring that customer.
Can you tell me what Customer Lifetime Value is?,Customer lifetime value helps you predict future revenue and measure long-term business success.
What is the difference between pre-money and post-money?,The difference between a pre money valuation of a company and a post money valuation of a company comes down to timing.
What is the difference between Private Equity and VC?,"Private equity and venture capital buy different types of companies, invest different amounts of money, and claim different amounts of equity in the companies in which they invest."
Choose one startup that you admire. Why?,"You can name any company you want, but make sure you have deeper knowledge about the company (culture, turnover, business model etc.) so that you can explain why you have chosen exactly that company."
How would you value a company in general?,"There are several strategies to value a startup company (e.g. Scorecard Valuation Methodology, VC Valuation Method, Dave Berkus Valuation Method, ...). Make sure to inform yourself about different ones so that you can talk along."
Please walk me through the three financial statements,Focus on the major parts of the three financial statements. A good answer will be high level and will provide commentary on the general purpose of each statement while still highlighting key aspects.
"According to you, which startup is the most promising in our portfolio and why?",This will require real research. You need to know their portfolio across the board and have compelling reasons behind your decisions.
"According to our investment thesis, do you have a startup in mind that we should look at? Why?",This will require real research. You need to know their investment thesis and have compelling reasons behind your decisions why a startup could be a potential fit.
Who are our VCs competitors?,Do your research. You should know the competitors of the VC you are applying at and also be able to answer in which details they differ.
What is venture capital?,"VC firms raise capital from investors to create venture funds, which are used to buy equity in early- or late-stage companies, depending on the firm’s specialization."
What are your career goals?,"Interviewers want to know whether you plan to stay at the company for a while, or if you're likely to leave at the first opportunity."
What are you really good at professionally?,The company wants to learn whether you're a good fit for the role you're interviewing for.
What are you not good at or not interested?,Your potential employer uses this seemingly innocent question to suss out your ability to perform your responsibilities.
Tell me about your most challenging professional experience.,"When employers ask you this interview question, they want to know what struggles you've faced in your previous jobs and how you overcame them."
What are your favorite VC news sites?,Be prepared for follow up questions and explain why you find exactly these news sources exciting.
Describe your current job responsibilities.,The interviewer wants to understand if your skills and responsibilities align well with the work you should do at their company.
What did you take into consideration when you chose this firm?,The interviewer wants to learn about your career goals and how this position fits into your plan.
Why VC right now?,"This can be a tricky one. You have to understand the path of the role you’re interviewing for – some are strictly 2 – 3 years and out of the firm, while others are hopeful you’ll progress upward."
What do you think of our investment in [portfolio company]?,This will require real research. You need to know their portfolio across the board and have compelling reasons behind your decisions.
Who is the most interesting person you know and why?,This open question is much more about getting to know you than it is hearing your answer.
Give me an example of 1-2 times in your life when you failed. What did you do about it?,"This is an opportunity to show your resiliency, adaptability and persistence in the face of adversity."
What are you most proud of professionally?,Your chosen accomplishment should tie to the potential responsibilities and interests already mentioned in the interview.
What’s something that we don’t know about you from your resume?,"Let the interviewer get to know your personality. As VCs are often working in small teams, your sociability and ability to work together with the team is pretty important."
"If a former boss said something about you, what would it be?",Try to highlight the type of qualities your interviewer is looking for.
What have you learned from your internship in VC?,Try to focus your answer around the similarities between what you did in the internship and the position you are applying for.
How would you find/source new startups?,"An active deal flow is one of the most important tasks at a VC fund. You’ll likely be expected to contribute meaningfully (or, in some cases, focus entirely) on sourcing."
What are the companies you're looking at right now?,"Entering any interview, you should have a shortlist of companies that you think would be good investments."
What do you read?,This question tests your thought process around how to value these companies and their potential for growth and profitability.
What has been the most interesting IPO or acquisition in [industry] in the past year?,"For an industry question, you should have answers for any industry of interest you’ve highlighted."
What is a tech company in the public markets that is grossly undervalued/overvalued? Why?,This question tests your thought process around how to value these companies and their potential for growth and profitability.
What is churn rate?,"The churn rate, also known as the rate of attrition or customer churn, is the rate at which customers stop doing business with a company."
What are the trade-offs of a fixed price equity financing vs. convertible or SAFE notes?,Convertible notes and SAFE notes have risen in prominence due to the ease in closing early-stage rounds by deferring valuation debates until the company has matured.
What is more important between growth and profitability?,"At the earliest stages, profitability is highly unlikely, so growth is often viewed most favorably."
"Which one is generally the most relevant for a startup, EV/EBITDA or EV/Revenue?","Typically revenue, as many startups are not profitable and thus EV/EBITDA is nonsensical."
What are the different business models/monetization strategies of startups?,"Know how different startups monetize and the relative advantages and disadvantages (e.g. Subscription Model, eCommerce, Ad-based)."
What three terms other than valuation would you want to negotiate with a founder?,Interviewers here are likely more interested in your understanding of different terms and supporting rationale for your decision than three specific terms.
What is a private tech company that is mismanaged / managed correctly and why?,"This questions tests your knowledge and passion for the space, while also exploring your ability to build and hold an opinion."
How is a venture capital firm’s success measured? What KPIs are used? When is each most useful?,"The most important metrics for a VC's performance are TVPI (Total Value to Paid in Capital Multiple), DPI (Distributions to Paid in Capital), IRR (Internal Rate of Return)."
